rank,title,domestic_gross,boxoffice_open,boxoffice_close,distributor,estimated,budget,wikipedia_title,wikidata_id,wikidata_title,wikidata_release_date,wikidata_box_office,wikidata_letterboxd_slug,letterboxd_avg,letterboxd_ratings,letterboxd_slug
1,Zootopia 2,428130160.0,Nov 26,-,Walt Disney Studios Motion Pictures,False,150000000.0,Zootopia 2,Q116764712,Zootopia 2,2025-11-28T00:00:00Z,1866647936.0,zootopia-2,3.68,1783073.0,film/zootopia-2
2,A Minecraft Movie,424087780.0,Apr 4,-,Warner Bros.,False,150000000.0,A Minecraft Movie,Q40083273,A Minecraft Movie,2025-04-05T00:00:00Z,,minecraft-2025,2.44,1503222.0,film/a-minecraft-movie
3,Lilo & Stitch,423778855.0,May 23,-,Walt Disney Studios Motion Pictures,False,100000000.0,Lilo & Stitch (2025 film),Q59395971,Lilo & Stitch,2025-05-23T00:00:00Z,1030541425.0,lilo-stitch-2025,3.01,595670.0,film/lilo-stitch-2025
4,Avatar: Fire and Ash,404340010.0,Dec 19,Apr 16,20th Century Studios,False,375000000.0,Avatar: Fire and Ash,Q29580929,Avatar: Fire and Ash,2025-12-19T00:00:00Z,,avatar-fire-and-ash,3.55,1471761.0,film/avatar-fire-and-ash
5,Superman,354223803.0,Jul 11,-,Warner Bros.,False,225000000.0,Superman (2025 film),Q116547790,Superman,2025-07-11T00:00:00Z,618723803.0,superman-2025,3.83,3110035.0,film/superman-2025
6,Wicked: For Good,342915090.0,Nov 17,Jan 30,Universal Pictures,False,150000000.0,Wicked: For Good,Q114817050,Wicked: For Good,2025-11-21T00:00:00Z,,wicked-for-good,3.4,1298289.0,film/wicked-for-good
7,Jurassic World: Rebirth,339640400.0,Jul 2,-,Universal Pictures,False,217000000.0,Jurassic World Rebirth,Q124380480,Jurassic World Rebirth,2025-07-03T00:00:00Z,,jurassic-world-rebirth,2.6,1110427.0,film/jurassic-world-rebirth
8,Sinners,279989632.0,Apr 18,Jul 18,Warner Bros.,False,95000000.0,Sinners (2025 film),Q125473145,Sinners,2025-04-18T00:00:00Z,,sinners-2025,4.1,4496230.0,film/sinners-2025
9,The Fantastic Four: First Steps,274286610.0,Jul 25,-,Walt Disney Studios Motion Pictures,False,229600000.0,The Fantastic Four: First Steps,Q105105219,The Fantastic Four: First Steps,2025-07-25T00:00:00Z,,the-fantastic-four-first-steps,3.34,2104111.0,film/the-fantastic-four-first-steps
10,How to Train Your Dragon,262958100.0,Jun 13,-,Universal Pictures,False,150000000.0,How to Train Your Dragon (2025 film),Q118904382,How to Train Your Dragon,2025-09-05T00:00:00Z,371482710.0,how-to-train-your-dragon-2025,3.82,1085392.0,film/how-to-train-your-dragon-2025
11,Captain America: Brave New World,200500001.0,Feb 14,May 22,Walt Disney Studios Motion Pictures,False,180000000.0,Captain America: Brave New World,Q112322116,Captain America: Brave New World,2025-02-14T00:00:00Z,,captain-america-brave-new-world,2.39,868736.0,film/captain-america-brave-new-world
12,Mission: Impossible - The Final Reckoning,197413515.0,May 23,Aug 14,Paramount Pictures,False,350000000.0,Mission: Impossible – The Final Reckoning,Q61876374,Mission: Impossible – The Final Reckoning,2025-05-23T00:00:00Z,,mission-impossible-the-final-reckoning,3.45,775821.0,film/mission-impossible-the-final-reckoning
